Unnamed: 0,TWEET_ID,USER_ID,TWEET_TEXT,AUTHOR_COVID,AUTHOR_SYMPTOMS,FAMILY,FAMILY_COVID,FAMILY_SYMPTOMS,ABT_FAMILY,TWEET_TEXT_PROCESSED,HASHTAGS,POS,NON_ENGLISH,IF,COVID,TWEET_TEXT_PROCESSED_POSTAGGED,Sig_Predictions,Predictions
10,1344600239190253569,20634492,"Love this #haulageheroes, many truckers like my husband have driven throughout covid, this week through the snow, with facemasks on to make sure we have food, medicine &amp; essentials in our shops. He's working tonight for @sainsburys, the shops would be empty without lorry drivers! https://t.co/D83hEVXbUb",0,0,1,0,0,1,"love this #haulageheroes, many truckers like my husband have driven throughout covid, this week through the snow, with facemasks on to make sure we have food, medicine  essentials in our shops. he is working tonight for sainsburys, the shops would be empty without lorry drivers! ","['#haulageheroes,']",love_VB this_DT #haulageheroes_NNP many_JJ truckers_NNS like_IN husband_NN have_VBP driven_VBN throughout_IN covid_NN this_DT week_NN through_IN the_DT snow_NN with_IN facemasks_NNS on_IN to_TO make_VB sure_JJ we_PRP have_VBP food_NN medicine_NN essentials_NNS in_IN shops_NNS he_PRP is_VBZ working_VBG tonight_NN for_IN sainsburys_NN the_DT shops_NNS would_MD be_VB empty_VBN without_IN lorry_NN drivers_NNS,False,False,True,"love this #haulageheroes, many truckers like my husband have driven throughout covid, this week through the snow, with facemasks on to make sure we have food, medicine  essentials in our shops. he is working tonight for sainsburys, the shops would be empty without lorry drivers!  love_VB this_DT #haulageheroes_NNP many_JJ truckers_NNS like_IN husband_NN have_VBP driven_VBN throughout_IN covid_NN this_DT week_NN through_IN the_DT snow_NN with_IN facemasks_NNS on_IN to_TO make_VB sure_JJ we_PRP have_VBP food_NN medicine_NN essentials_NNS in_IN shops_NNS he_PRP is_VBZ working_VBG tonight_NN for_IN sainsburys_NN the_DT shops_NNS would_MD be_VB empty_VBN without_IN lorry_NN drivers_NNS",0.005264307,-5.2415276
11,1312400258589171713,1023673566573867008,Promise I don’t have Covid I just put too much sriracha on my fishfimgers,0,0,0,0,0,0,promise i do not have covid i just put too much sriracha on my fishfimgers,[],promise_NN i_NN do_VBP not_RB have_VB covid_NN i_NN just_RB put_VBD too_RB much_JJ sriracha_NN on_IN fishfimgers_NNS,False,False,True,promise i do not have covid i just put too much sriracha on my fishfimgers promise_NN i_NN do_VBP not_RB have_VB covid_NN i_NN just_RB put_VBD too_RB much_JJ sriracha_NN on_IN fishfimgers_NNS,0.0063674795,-5.0501637
12,1290985868753346560,19988629,I develop short-lived covid symptoms by walking up a hill. Ask me anything!,0,1,0,0,0,0,i develop short-lived covid symptoms by walking up a hill. ask me anything!,[],i_JJ develop_VBP short-lived_JJ covid_NN symptoms_NNS by_IN walking_VBG up_RP a_DT hill_NN ask_VB me_PRP anything_NN,False,False,True,i develop short-lived covid symptoms by walking up a hill. ask me anything! i_JJ develop_VBP short-lived_JJ covid_NN symptoms_NNS by_IN walking_VBG up_RP a_DT hill_NN ask_VB me_PRP anything_NN,0.9885848,4.461337
13,1285597526469509121,257437336,“We had our wedding cancelled due to #COVID19 &amp; I’m a #NHS nurse. My fiancé is Mexican Please could u draw us back in Mexico on holiday with sombreros on!”- @AcpGem #keyworkers share ur #bottlemoments &amp; @RMurrayCartoons will draw them for u! #Lockdown #mentalhealth @BottleMoments https://t.co/iF9wGetyrJ,0,0,0,0,0,0,“we had our wedding cancelled due to #covid19  i am a #nhs nurse. my fiancé is mexican please could you draw us back in mexico on holiday with sombreros on!”- acpgem #keyworkers share ur #bottlemoments  rmurraycartoons will draw them for you! #lockdown #mentalhealth bottlemoments ,"['#COVID19', '#NHS', '#keyworkers', '#bottlemoments', '#Lockdown', '#mentalhealth']",“_NN we_PRP had_VBD wedding_NN cancelled_VBD due_JJ to_TO #covid19_VB i_NN am_VBP a_DT #nhs_JJ nurse_NN fiancé_NN is_VBZ mexican_JJ please_NN could_MD you_PRP draw_VB us_PRP back_RB in_IN mexico_NN on_IN holiday_NN with_IN sombreros_NNS on_IN ”_SYM acpgem_NN #keyworkers_NNS share_NN ur_JJ #bottlemoments_NNS rmurraycartoons_NNS will_MD draw_VB them_PRP for_IN you_PRP #lockdown_JJ #mentalhealth_NN bottlemoments_NNS,False,False,True,“we had our wedding cancelled due to #covid19  i am a #nhs nurse. my fiancé is mexican please could you draw us back in mexico on holiday with sombreros on!”- acpgem #keyworkers share ur #bottlemoments  rmurraycartoons will draw them for you! #lockdown #mentalhealth bottlemoments  “_NN we_PRP had_VBD wedding_NN cancelled_VBD due_JJ to_TO #covid19_VB i_NN am_VBP a_DT #nhs_JJ nurse_NN fiancé_NN is_VBZ mexican_JJ please_NN could_MD you_PRP draw_VB us_PRP back_RB in_IN mexico_NN on_IN holiday_NN with_IN sombreros_NNS on_IN ”_SYM acpgem_NN #keyworkers_NNS share_NN ur_JJ #bottlemoments_NNS rmurraycartoons_NNS will_MD draw_VB them_PRP for_IN you_PRP #lockdown_JJ #mentalhealth_NN bottlemoments_NNS,0.9897564,4.570804
14,1322296729660698626,1870500607,My mom’s in a really weird mood bc she just tried hugging me (which never happens) so I was like ‘covid! covid!’,0,0,1,0,0,1,my mom’s in a really weird mood bc she just tried hugging me (which never happens) so i was like ‘covid! covid!’,[],mom_NN ’_NNP s_NN in_IN a_DT really_RB weird_JJ mood_NN bc_IN she_PRP just_RB tried_VBD hugging_VBG me_PRP which_WDT never_RB happens_VBZ so_IN i_NN was_VBD like_IN ‘_NNP covid_NN covid_NN ’_NN,False,False,True,my mom’s in a really weird mood bc she just tried hugging me (which never happens) so i was like ‘covid! covid!’ mom_NN ’_NNP s_NN in_IN a_DT really_RB weird_JJ mood_NN bc_IN she_PRP just_RB tried_VBD hugging_VBG me_PRP which_WDT never_RB happens_VBZ so_IN i_NN was_VBD like_IN ‘_NNP covid_NN covid_NN ’_NN,0.9903419,4.6302595
15,1296007361115627521,3345536325,"Imperfect #CovidTesting . Do I diagnose #COVID19 on basis of symptoms only?Yes. Do I say I still think they have Covid when PCR test is negative?Yes. Does test remain positive in some when clinically recovered?Yes. PCR has false negatives and positives, they must be understood.",0,0,0,0,0,0,"imperfect #covidtesting . do i diagnose #covid19 on basis of symptoms only?yes. do i say i still think they have covid when pcr test is negative?yes. does test remain positive in some when clinically recovered?yes. pcr has false negatives and positives, they must be understood.","['#CovidTesting', '#COVID19']",imperfect_JJ #covidtesting_NN do_VB i_RB diagnose_VB #covid19_NN on_IN basis_NN of_IN symptoms_NNS only_RB yes_UH do_VB i_NNS say_VBP i_NNS still_RB think_VBP they_PRP have_VBP covid_VBN when_WRB pcr_JJ test_NN is_VBZ negative_JJ yes_UH does_VBZ test_VB remain_VB positive_JJ in_IN some_DT when_WRB clinically_RB recovered_VBN yes_UH pcr_NN has_VBZ false_JJ negatives_NNS and_CC positives_NNS they_PRP must_MD be_VB understood_JJ,False,False,True,"imperfect #covidtesting . do i diagnose #covid19 on basis of symptoms only?yes. do i say i still think they have covid when pcr test is negative?yes. does test remain positive in some when clinically recovered?yes. pcr has false negatives and positives, they must be understood. imperfect_JJ #covidtesting_NN do_VB i_RB diagnose_VB #covid19_NN on_IN basis_NN of_IN symptoms_NNS only_RB yes_UH do_VB i_NNS say_VBP i_NNS still_RB think_VBP they_PRP have_VBP covid_VBN when_WRB pcr_JJ test_NN is_VBZ negative_JJ yes_UH does_VBZ test_VB remain_VB positive_JJ in_IN some_DT when_WRB clinically_RB recovered_VBN yes_UH pcr_NN has_VBZ false_JJ negatives_NNS and_CC positives_NNS they_PRP must_MD be_VB understood_JJ",0.27987793,-0.9450672
16,1294749558069764103,4882662525,"Got an extra COVID test yest as partner (and I, as the day progressed) started to feel unwell including a cough. I get tests weekly but last was Weds. Thankfully results today said we're negative. Likely just rundown but this *IS NOT OVER*. Taking COVID seriously is still vital!",0,1,1,0,1,1,"got an extra covid test yest as partner (and i, as the day progressed) started to feel unwell including a cough. i get tests weekly but last was weds. thankfully results today said we are negative. likely just rundown but this *is not over*. taking covid seriously is still vital!",[],got_VBD an_DT extra_JJ covid_NN test_NN yest_NN as_IN partner_NN and_CC i_RB as_IN the_DT day_NN progressed_VBD started_VBD to_TO feel_VB unwell_RB including_VBG a_DT cough_NN i_JJ get_VBP tests_NNS weekly_RB but_CC last_JJ was_VBD weds_NNS thankfully_RB results_NNS today_NN said_VBD we_PRP are_VBP negative_JJ likely_JJ just_RB rundown_VBN but_CC this_DT *_NN is_VBZ not_RB over_IN *_NNP taking_VBG covid_JJ seriously_RB is_VBZ still_RB vital_JJ,False,False,True,"got an extra covid test yest as partner (and i, as the day progressed) started to feel unwell including a cough. i get tests weekly but last was weds. thankfully results today said we are negative. likely just rundown but this *is not over*. taking covid seriously is still vital! got_VBD an_DT extra_JJ covid_NN test_NN yest_NN as_IN partner_NN and_CC i_RB as_IN the_DT day_NN progressed_VBD started_VBD to_TO feel_VB unwell_RB including_VBG a_DT cough_NN i_JJ get_VBP tests_NNS weekly_RB but_CC last_JJ was_VBD weds_NNS thankfully_RB results_NNS today_NN said_VBD we_PRP are_VBP negative_JJ likely_JJ just_RB rundown_VBN but_CC this_DT *_NN is_VBZ not_RB over_IN *_NNP taking_VBG covid_JJ seriously_RB is_VBZ still_RB vital_JJ",0.00811662,-4.8056917
17,1320653521033826305,252268258,"@virtualnotviral @akhilakn90 @ChrisMillsRD Obviously, Covid has been a huge challenge. I still think I was pretty fortunate in that I’d done so much research before the pandemic happened. Nevertheless it has been a very stressful and emotional time. VirtualNotViral 1/3",0,0,0,0,0,0,"obviously, covid has been a huge challenge. i still think i was pretty fortunate in that i would done so much research before the pandemic happened. nevertheless it has been a very stressful and emotional time. virtualnotviral 1/3",[],obviously_RB covid_NN has_VBZ been_VBN a_DT huge_JJ challenge_NN i_NN still_RB think_VBP i_NN was_VBD pretty_RB fortunate_JJ in_IN that_DT i_NN would_MD done_VBN so_RB much_JJ research_NN before_IN the_DT pandemic_NN happened_VBD nevertheless_NN it_PRP has_VBZ been_VBN a_DT very_RB stressful_JJ and_CC emotional_JJ time_NN virtualnotviral_JJ 1/3_CD,False,False,True,"obviously, covid has been a huge challenge. i still think i was pretty fortunate in that i would done so much research before the pandemic happened. nevertheless it has been a very stressful and emotional time. virtualnotviral 1/3 obviously_RB covid_NN has_VBZ been_VBN a_DT huge_JJ challenge_NN i_NN still_RB think_VBP i_NN was_VBD pretty_RB fortunate_JJ in_IN that_DT i_NN would_MD done_VBN so_RB much_JJ research_NN before_IN the_DT pandemic_NN happened_VBD nevertheless_NN it_PRP has_VBZ been_VBN a_DT very_RB stressful_JJ and_CC emotional_JJ time_NN virtualnotviral_JJ 1/3_CD",0.9909663,4.6977143
18,1293526747049340928,99343078,@Richard_rail I think we may be glad for COVID on this one? I still have thoughts out to those involved but at least the train wasn't any busier!,0,0,0,0,0,0,i think we may be glad for covid on this one? i still have thoughts out to those involved but at least the train was not any busier!,[],i_JJ think_VBP we_PRP may_MD be_VB glad_VBN for_IN covid_NN on_IN this_DT one_CD i_NN still_RB have_VB thoughts_NNS out_RP to_TO those_DT involved_VBN but_CC at_IN least_JJS the_DT train_NN was_VBD not_RB any_DT busier_NN,False,False,True,i think we may be glad for covid on this one? i still have thoughts out to those involved but at least the train was not any busier! i_JJ think_VBP we_PRP may_MD be_VB glad_VBN for_IN covid_NN on_IN this_DT one_CD i_NN still_RB have_VB thoughts_NNS out_RP to_TO those_DT involved_VBN but_CC at_IN least_JJS the_DT train_NN was_VBD not_RB any_DT busier_NN,0.0077873534,-4.8474364
19,1260156888626466816,240871024,My partner’s nan lives in a care home. She was sent to hospital with symptoms but tested negative for COVID-19. Then she was tested again- &amp; tested POSITIVE - after 3 days in hospital she was sent back to the care home. Symptoms have deteriorated &amp; she’s now in critical condition https://t.co/LM35hble4D,0,0,1,0,1,1,my partner’s nan lives in a care home. she was sent to hospital with symptoms but tested negative for covid-19. then she was tested again-  tested positive - after 3 days in hospital she was sent back to the care home. symptoms have deteriorated  she is now in critical condition ,[],partner_NN ’_NNP s_NN nan_NN lives_VBZ in_IN a_DT care_NN home_NN she_PRP was_VBD sent_VBN to_TO hospital_VB with_IN symptoms_NNS but_CC tested_VBD negative_JJ for_IN covid_JJ 19_CD then_RB she_PRP was_VBD tested_VBN again_RB tested_VBN positive_JJ after_IN 3_CD days_NNS in_IN hospital_NN she_PRP was_VBD sent_VBN back_RB to_TO the_DT care_NN home_NN symptoms_NNS have_VBP deteriorated_VBN she_PRP is_VBZ now_RB in_IN critical_JJ condition_NN,False,False,True,my partner’s nan lives in a care home. she was sent to hospital with symptoms but tested negative for covid-19. then she was tested again-  tested positive - after 3 days in hospital she was sent back to the care home. symptoms have deteriorated  she is now in critical condition  partner_NN ’_NNP s_NN nan_NN lives_VBZ in_IN a_DT care_NN home_NN she_PRP was_VBD sent_VBN to_TO hospital_VB with_IN symptoms_NNS but_CC tested_VBD negative_JJ for_IN covid_JJ 19_CD then_RB she_PRP was_VBD tested_VBN again_RB tested_VBN positive_JJ after_IN 3_CD days_NNS in_IN hospital_NN she_PRP was_VBD sent_VBN back_RB to_TO the_DT care_NN home_NN symptoms_NNS have_VBP deteriorated_VBN she_PRP is_VBZ now_RB in_IN critical_JJ condition_NN,0.98187757,3.9923172
